ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,meta:_source_product_id,meta:_source_url,meta:_source_image_urls,meta:_s3_media_paths
,simple,687529990,Round Cut 5.08 CARAT F COLOR VVS1 Clarity Lab Grown Diamond,,,,,,,,0,,,1,,,,,,,2780,2780,,white-diamond,,,,,,,,,,,,2300356,https://www.loosegrowndiamond.com/product/round-cut-5-08-carat-f-color-vvs1-clarity-lab-grown-diamond-687529990/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,776607349,Oval Cut 3.56 CARAT G COLOR VVS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,881,881,,white-diamond,,,,,,,,,,,,2300662,https://www.loosegrowndiamond.com/product/oval-cut-3-56-carat-g-color-vvs2-clarity-lab-grown-diamond-776607349/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,794641291,Radiant Cut 1.89 CARAT D COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 1.89 Carat Radiant gray VVS2 Ideal Diamond. IGI Certified. SKU: 794641291. Price: $180.00. In Stock.,,,1,,,1,,,,,,,657,657,,white-diamond,,,,,,,,,,,,2300799,https://www.loosegrowndiamond.com/diamond/794641291/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/radiant.png,products/2316973/radiant-bbe6f8deda10.png
,simple,LGD14-13993,Oval Cut 1.00 CARAT D COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 1.00 Carat OVAL gray VVS2 Ideal Diamond. IGI Certified. SKU: LGD14-13993. Price: $215.00. In Stock.,,,1,,,1,,,,,,,307,307,,white-diamond,,,,,,,,,,,,2301127,https://www.loosegrowndiamond.com/diamond/LGD14-13993/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,794697752,Marquise Cut 1.51 CARAT yellow COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 1.51 Carat Marquise 1 1 VVS2 Ideal Diamond. IGI Certified. SKU: 794697752. Price: $276.00. In Stock.,,,1,,,0,,,,,,,1199,1199,,color-diamond,,,,,,,,,,,,2301234,https://www.loosegrowndiamond.com/diamond/794697752/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/marquise_yellow.png,products/2301234/marquise_yellow-61337960be02.png
,simple,768632437,Oval Cut 2.38 CARAT D COLOR IF Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,2186,2186,,white-diamond,,,,,,,,,,,,2301355,https://www.loosegrowndiamond.com/product/oval-cut-2-38-carat-d-color-if-clarity-lab-grown-diamond-768632437/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,770624240,Round Cut 3.07 CARAT E COLOR VVS1 Clarity Lab Grown Diamond,,,,,Buy 3.07 Carat Round black VVS1 Ideal Diamond. IGI Certified. SKU: 770624240. Price: $553.00. In Stock.,,,1,,,1,,,,,,,2411,2411,,white-diamond,,,,,,,,,,,,2301468,https://www.loosegrowndiamond.com/diamond/770624240/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,780679113,Old mine Cut 2.01 CARAT E COLOR VS1 Clarity Lab Grown Diamond,,,,,Buy 2.01 Carat Pear black VS1 Ideal Diamond. IGI Certified. SKU: 780679113. Price: $317.00. In Stock.,,,1,,,1,,,,,,,946,946,,white-diamond,,,,,,,,,,,,2301582,https://www.loosegrowndiamond.com/diamond/780679113/,https://www.loosegrowndiamond.com/wp-content/uploads/2022/06/old-mine.png,products/2311026/old-mine-71a620778361.png
,simple,LGD14-11078,Oval Cut 2.47 CARAT D COLOR VVS1 Clarity Lab Grown Diamond,,,,,,,,0,,,1,,,,,,,1640,1640,,white-diamond,,,,,,,,,,,,2301703,https://www.loosegrowndiamond.com/product/oval-cut-2-47-carat-d-color-vvs1-clarity-lab-grown-diamond-lgd14-11078/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
,simple,233035266,Radiant Cut 3.00 CARAT F COLOR VS1 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,789,789,,white-diamond,,,,,,,,,,,,2301856,https://www.loosegrowndiamond.com/product/radiant-cut-3-00-carat-f-color-vs1-clarity-lab-grown-diamond-233035266/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/radiant.png,products/2316973/radiant-bbe6f8deda10.png
,simple,807690263,Radiant Cut 3.50 CARAT E COLOR VS2 Clarity Lab Grown Diamond,,,,,,,,1,,,1,,,,,,,1163,1163,,white-diamond,,,,,,,,,,,,2302156,https://www.loosegrowndiamond.com/product/radiant-cut-3-50-carat-e-color-vs2-clarity-lab-grown-diamond-807690263/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/radiant.png,products/2316973/radiant-bbe6f8deda10.png
,simple,648497681,Princess Cut 1.07 CARAT pink COLOR VS1 Clarity Lab Grown Diamond,,,,,Buy 1.07 Carat Princess 3 2 VS1 Ideal Diamond. IGI Certified. SKU: 648497681. Price: $154.00. In Stock.,,,1,,,0,,,,,,,833,833,,color-diamond,,,,,,,,,,,,2302281,https://www.loosegrowndiamond.com/diamond/648497681/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/princess_pink.png,products/2302281/princess_pink-682216c71d9a.png
,simple,770617303,Round Cut 2.03 CARAT D COLOR VVS2 Clarity Lab Grown Diamond,,,,,Buy 2.03 Carat Round gray VVS2 Ideal Diamond. IGI Certified. SKU: 770617303. Price: $221.00. In Stock.,,,1,,,1,,,,,,,747,747,,white-diamond,,,,,,,,,,,,2302415,https://www.loosegrowndiamond.com/diamond/770617303/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/round.png,products/2314107/round-bbb6e144f022.png
,simple,651477368,Cushion Cut 2.03 CARAT E COLOR VVS1 Clarity Lab Grown Diamond,,,,,Buy 2.03 Carat Cushion black VVS1 Ideal Diamond. IGI Certified. SKU: 651477368. Price: $376.00. In Stock.,,,1,,,1,,,,,,,1266,1266,,white-diamond,,,,,,,,,,,,2302536,https://www.loosegrowndiamond.com/diamond/651477368/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/cushion.png,products/2316559/cushion-1f305250daae.png
,simple,773639308,Oval Cut 2.55 CARAT D COLOR IF Clarity Lab Grown Diamond,,,,,Buy 2.55 Carat Oval gray IF Ideal Diamond. IGI Certified. SKU: 773639308. Price: $724.00. In Stock.,,,1,,,1,,,,,,,2370,2370,,white-diamond,,,,,,,,,,,,2302714,https://www.loosegrowndiamond.com/diamond/773639308/,https://www.loosegrowndiamond.com/wp-content/uploads/2021/10/oval.png,products/2316140/oval-988a448bf884.png
